iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
381,0.849,26489,24786,0.5,88,690,2.539
382,0.849,26489,24900,0.1,87,690,2.539
383,0.849,26489,24757,0.2,87,690,2.539
384,0.849,26489,24696,0.2,87,690,2.539
385,0.849,26489,25031,0.2,87,690,2.539
386,0.849,26489,25801,0.35,87,690,2.539
387,0.849,26489,24864,0.35,88,690,2.539
388,0.849,26489,25299,0.1,87,690,2.539
389,0.849,26489,25212,0.05,88,690,2.539
390,0.863,26489,25116,0.2,88,690,2.539
391,0.863,26489,24634,0.35,88,690,2.539
392,0.863,26489,25550,0.1,88,690,2.539
393,0.863,26489,25350,0.1,87,690,2.539
394,0.863,26489,24726,0.1,88,690,2.539
395,0.863,26489,25722,0.05,88,690,2.539
396,0.863,26489,25001,0.35,86,690,2.539
397,0.863,26489,25949,0.2,88,690,2.539
398,0.863,26489,25479,0.5,88,690,2.539
399,0.863,26489,24693,0.05,88,690,2.539
400,0.863,26489,25305,0.1,87,690,2.539
401,0.863,26489,25694,0.35,88,690,2.539
402,0.88,26489,24893,0.5,88,690,2.539
403,0.88,26489,25113,0.05,88,690,2.539
404,0.88,26489,24746,0.1,88,690,2.539
405,0.883,26489,25422,0.5,87,690,2.539
406,0.883,26489,25290,0.35,87,690,2.539
407,0.883,26489,25003,0.35,87,690,2.539
408,0.883,26489,25029,0.1,88,690,2.539
409,0.883,26489,25132,0.5,87,690,2.539
410,0.89,26489,24847,0.5,88,690,2.539
411,0.89,26489,25769,0.1,88,690,2.539
412,0.89,26489,25340,0.1,88,690,2.539
413,0.89,26489,24611,0.05,87,690,2.539
414,0.895,26489,25863,0.35,87,690,2.539
415,0.897,26489,25143,0.35,88,690,2.539
416,0.904,26489,25318,0.5,87,690,2.539
417,0.906,26489,24986,0.35,87,690,2.539
418,0.906,26489,25112,0.1,87,690,2.539
419,0.908,26489,24887,0.05,88,690,2.539
420,0.91,26489,24915,0.2,87,690,2.539
421,0.912,26489,25993,0.1,88,690,2.539
422,0.912,26489,26139,0.05,88,690,2.539
423,0.916,26489,24986,0.35,87,690,2.539
424,0.916,26489,24433,0.05,88,690,2.539
425,0.919,26489,24266,0.1,88,690,2.539
426,0.921,26489,25007,0.5,88,690,2.539
427,0.923,26489,25458,0.1,88,690,2.539
428,0.924,26489,24854,0.1,88,690,2.539
429,0.926,26489,25539,0.05,88,690,2.539
430,0.926,26489,25432,0.35,88,690,2.539
431,0.926,26489,25310,0.05,88,690,2.539
432,0.93,26489,25616,0.2,87,690,2.539
433,0.932,26489,24676,0.5,88,690,2.539
434,0.932,26489,24882,0.1,87,690,2.539
435,0.934,26489,25201,0.2,87,690,2.539
436,0.934,26489,25322,0.1,88,690,2.539
437,0.937,26489,25883,0.05,88,690,2.539
438,0.939,26489,24874,0.1,87,690,2.539
439,0.939,26489,25025,0.2,88,690,2.539
440,0.941,26489,25019,0.05,87,690,2.539
441,0.941,26489,25853,0.5,87,690,2.539
442,0.941,26489,25712,0.5,88,690,2.539
443,0.949,26489,24843,0.2,88,690,2.539
444,0.95,26489,25980,0.35,88,690,2.539
445,0.952,26489,25289,0.2,87,690,2.539
446,0.953,26489,25029,0.05,87,690,2.539
447,0.954,26489,24652,0.1,88,690,2.539
448,0.955,26489,24536,0.35,88,690,2.539
449,0.955,26489,25155,0.1,87,690,2.539
450,0.958,26489,25254,0.35,88,690,2.539
451,0.958,26489,26063,0.05,87,690,2.539
452,0.96,26489,24924,0.1,88,690,2.539
453,0.96,26489,24907,0.5,87,690,2.539
454,0.962,26489,24834,0.5,88,690,2.539
455,0.964,26489,25044,0.5,87,690,2.539
456,0.964,26489,24870,0.1,87,690,2.539
457,0.964,26489,25261,0.2,87,690,2.539
458,0.964,26489,25314,0.1,88,690,2.539
459,0.964,26489,25147,0.1,88,690,2.539
460,0.964,26489,25330,0.35,88,690,2.539
461,0.971,26489,25986,0.35,88,690,2.539
462,0.971,26489,24932,0.2,87,690,2.539
463,0.971,26489,25842,0.2,88,690,2.539
464,0.971,26489,25069,0.05,88,690,2.539
465,0.971,26489,24854,0.2,88,690,2.539
466,0.971,26489,25140,0.1,88,690,2.539
467,0.971,26489,24693,0.2,88,690,2.539
468,0.971,26489,24927,0.35,87,690,2.539
469,0.981,26489,25881,0.5,87,690,2.539
470,0.987,26489,24953,0.1,88,690,2.539
471,0.988,26489,25283,0.35,88,690,2.539
472,0.988,26489,25056,0.05,88,690,2.539
473,0.988,26489,24938,0.05,88,690,2.539
474,0.988,26489,25222,0.5,88,690,2.539
475,0.988,26489,25650,0.2,88,690,2.539
476,0.996,26489,25803,0.5,87,690,2.539
477,0.998,26489,25851,0.35,88,690,2.539
478,0.998,26489,25062,0.35,87,690,2.539
479,1.0,26489,25512,0.1,87,690,2.539
480,1.0,26489,25432,0.2,88,690,2.539
481,1.002,26489,24750,0.05,88,690,2.539
482,1.003,26489,25503,0.1,88,690,2.539
483,1.004,26489,25574,0.1,88,690,2.539
484,1.006,26489,25966,0.35,88,690,2.539
485,1.006,26489,24741,0.05,88,690,2.539
486,1.008,26489,24887,0.35,87,690,2.539
487,1.01,26489,25107,0.35,88,690,2.539
488,1.01,26489,24926,0.2,88,690,2.539
489,1.012,26489,26050,0.35,87,690,2.539
490,1.012,26489,25611,0.05,88,690,2.539
491,1.015,26489,25032,0.5,88,690,2.539
492,1.015,26489,25304,0.35,87,690,2.539
493,1.017,26489,25340,0.1,88,690,2.539
