iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
259,0.671,26489,690,2.539,0.199731,0.199226,0.198648,0.200774,0.20162
260,0.671,26489,690,2.539,0.199735,0.199231,0.198652,0.200758,0.201624
261,0.671,26489,690,2.539,0.199739,0.199216,0.198656,0.200761,0.201628
262,0.677,26489,690,2.539,0.19983,0.199194,0.198633,0.200738,0.201605
263,0.677,26489,690,2.539,0.199829,0.199195,0.198633,0.200738,0.201604
264,0.681,26489,690,2.539,0.199817,0.199198,0.198636,0.200741,0.201607
265,0.681,26489,690,2.539,0.199814,0.199213,0.198633,0.200737,0.201604
266,0.681,26489,690,2.539,0.199812,0.199211,0.198631,0.200735,0.201612
267,0.681,26489,690,2.539,0.199812,0.199211,0.198631,0.200735,0.201612
268,0.681,26489,690,2.539,0.199752,0.199226,0.198645,0.20075,0.201627
269,0.681,26489,690,2.539,0.199757,0.199231,0.198651,0.200756,0.201605
270,0.681,26489,690,2.539,0.199758,0.199231,0.198651,0.200755,0.201606
271,0.681,26489,690,2.539,0.199759,0.199226,0.198652,0.200756,0.201607
272,0.681,26489,690,2.539,0.199745,0.199212,0.198638,0.200813,0.201592
273,0.681,26489,690,2.539,0.19975,0.199217,0.198617,0.200818,0.201598
274,0.692,26489,690,2.539,0.199768,0.199235,0.198635,0.200747,0.201616
275,0.694,26489,690,2.539,0.199759,0.19927,0.198626,0.200738,0.201607
276,0.694,26489,690,2.539,0.199771,0.199282,0.198577,0.200751,0.201619
277,0.694,26489,690,2.539,0.199725,0.199236,0.198762,0.200704,0.201572
278,0.697,26489,690,2.539,0.199745,0.199256,0.198682,0.200724,0.201592
279,0.698,26489,690,2.539,0.19973,0.199242,0.198668,0.200783,0.201578
280,0.698,26489,690,2.539,0.199743,0.199255,0.198615,0.200796,0.201591
281,0.7,26489,690,2.539,0.199754,0.199265,0.198626,0.200753,0.201602
282,0.7,26489,690,2.539,0.199693,0.199281,0.198641,0.200768,0.201617
283,0.703,26489,690,2.539,0.199774,0.199261,0.198621,0.200748,0.201597
284,0.703,26489,690,2.539,0.199787,0.199205,0.198635,0.200762,0.201611
285,0.703,26489,690,2.539,0.199768,0.19921,0.198639,0.200767,0.201616
286,0.703,26489,690,2.539,0.199824,0.199196,0.198625,0.200753,0.201602
287,0.703,26489,690,2.539,0.199821,0.199193,0.198638,0.20075,0.201598
288,0.703,26489,690,2.539,0.199835,0.199207,0.19858,0.200764,0.201613
289,0.713,26489,690,2.539,0.199839,0.199211,0.198564,0.200768,0.201617
290,0.715,26489,690,2.539,0.19986,0.199232,0.198585,0.200789,0.201534
291,0.715,26489,690,2.539,0.199861,0.199233,0.198582,0.20079,0.201535
292,0.715,26489,690,2.539,0.19986,0.199232,0.198581,0.200794,0.201534
293,0.719,26489,690,2.539,0.199875,0.199247,0.198596,0.20081,0.201472
294,0.721,26489,690,2.539,0.199883,0.199255,0.198566,0.200817,0.201479
295,0.721,26489,690,2.539,0.199881,0.199253,0.198573,0.200815,0.201477
296,0.723,26489,690,2.539,0.199838,0.199264,0.198584,0.200826,0.201488
297,0.723,26489,690,2.539,0.199859,0.199285,0.198605,0.200742,0.201509
298,0.727,26489,690,2.539,0.199852,0.199277,0.198598,0.200735,0.201538
299,0.727,26489,690,2.539,0.199864,0.19929,0.19861,0.200747,0.201489
300,0.727,26489,690,2.539,0.199868,0.199294,0.198614,0.200731,0.201493
301,0.731,26489,690,2.539,0.199841,0.199401,0.198587,0.200704,0.201466
302,0.732,26489,690,2.539,0.199837,0.199397,0.198583,0.200699,0.201484
303,0.733,26489,690,2.539,0.199844,0.199403,0.19859,0.200673,0.201491
